date,package,version,cumulative,clamped
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.6.0,120,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.7.0,165,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.8.0,115,
2026-08-09,Ank.DocToolkit.Extensions.DependencyInjection,0.9.0,194,
2026-08-10,Ank.DocToolkit,0.1.0,351,
2026-08-10,Ank.DocToolkit,0.10.0,409,
2026-08-10,Ank.DocToolkit,0.11.0,1011,
2026-08-10,Ank.DocToolkit,0.12.0,829,
2026-08-10,Ank.DocToolkit,0.13.0,278,
2026-08-10,Ank.DocToolkit,0.14.0,281,
2026-08-10,Ank.DocToolkit,0.15.0,251,
2026-08-10,Ank.DocToolkit,0.16.0,310,
2026-08-10,Ank.DocToolkit,0.18.0,111,
2026-08-10,Ank.DocToolkit,0.18.1,252,
2026-08-10,Ank.DocToolkit,0.19.0,81,
2026-08-10,Ank.DocToolkit,0.19.1,81,
2026-08-10,Ank.DocToolkit,0.2.0,1479,
2026-08-10,Ank.DocToolkit,0.2.1,223,
2026-08-10,Ank.DocToolkit,0.2.2,93,
2026-08-10,Ank.DocToolkit,0.20.0,54,
2026-08-10,Ank.DocToolkit,0.3.0,91,
2026-08-10,Ank.DocToolkit,0.3.1,92,
2026-08-10,Ank.DocToolkit,0.3.10,98,
2026-08-10,Ank.DocToolkit,0.3.11,121,
2026-08-10,Ank.DocToolkit,0.3.12,132,
2026-08-10,Ank.DocToolkit,0.3.2,213,
2026-08-10,Ank.DocToolkit,0.3.3,89,
2026-08-10,Ank.DocToolkit,0.3.4,95,
2026-08-10,Ank.DocToolkit,0.3.5,117,
2026-08-10,Ank.DocToolkit,0.3.6,125,
2026-08-10,Ank.DocToolkit,0.3.7,118,
2026-08-10,Ank.DocToolkit,0.3.8,105,
2026-08-10,Ank.DocToolkit,0.3.9,121,
2026-08-10,Ank.DocToolkit,0.4.0,147,
2026-08-10,Ank.DocToolkit,0.5.0,159,
2026-08-10,Ank.DocToolkit,0.6.0,123,
2026-08-10,Ank.DocToolkit,0.7.0,278,
2026-08-10,Ank.DocToolkit,0.8.0,408,
2026-08-10,Ank.DocToolkit,0.9.0,200,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.10.0,109,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.11.0,298,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.12.0,597,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.13.0,147,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.14.0,259,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.15.0,128,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.16.0,279,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.18.0,100,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.18.1,114,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.19.0,74,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.19.1,81,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.2.1,226,
2026-08-10,Ank.DocToolkit.Extensions.DependencyInjection,0.2.2,99,
